"id";"part2b";"part2t";"part1";"scope";"type";"ref_name";"comment";"active";"created_at";"updated_at";"locale"
"aaa";"";"";"";"I";"L";"Ghotuo";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aab";"";"";"";"I";"L";"Alumu-Tesu";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aac";"";"";"";"I";"L";"Ari";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aad";"";"";"";"I";"L";"Amal";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aae";"";"";"";"I";"L";"Arbëreshë Albanian";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aaf";"";"";"";"I";"L";"Aranadan";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aag";"";"";"";"I";"L";"Ambrak";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aah";"";"";"";"I";"L";"Abu' Arapesh";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aai";"";"";"";"I";"L";"Arifama-Miniafia";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aak";"";"";"";"I";"L";"Ankave";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aal";"";"";"";"I";"L";"Afade";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aan";"";"";"";"I";"L";"Anambé";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aao";"";"";"";"I";"L";"Algerian Saharan Arabic";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aap";"";"";"";"I";"L";"Pará Arára";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aaq";"";"";"";"I";"E";"Eastern Abnaki";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aar";"aar";"aar";"aa";"I";"L";"Afar";"";1;"2015-08-25 16:37:30";"2015-08-26 09:58:47";""
"aas";"";"";"";"I";"L";"Aasáx";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aat";"";"";"";"I";"L";"Arvanitika Albanian";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aau";"";"";"";"I";"L";"Abau";"";0;"2015-08-25 16:37:30";"2015-08-25 16:37:30";""
"aaw";"";"";"";"I";"L";"Solong";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"aax";"";"";"";"I";"L";"Mandobo Atas";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"aaz";"";"";"";"I";"L";"Amarasi";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"aba";"";"";"";"I";"L";"Abé";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abb";"";"";"";"I";"L";"Bankon";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abc";"";"";"";"I";"L";"Ambala Ayta";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abd";"";"";"";"I";"L";"Manide";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abe";"";"";"";"I";"L";"Western Abnaki";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abf";"";"";"";"I";"L";"Abai Sungai";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abg";"";"";"";"I";"L";"Abaga";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abh";"";"";"";"I";"L";"Tajiki Arabic";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abi";"";"";"";"I";"L";"Abidji";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abj";"";"";"";"I";"E";"Aka-Bea";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abk";"abk";"abk";"ab";"I";"L";"Abkhazian";"";1;"2015-08-25 16:37:31";"2015-08-25 16:46:00";""
"abl";"";"";"";"I";"L";"Lampung Nyo";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abm";"";"";"";"I";"L";"Abanyom";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abn";"";"";"";"I";"L";"Abua";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abo";"";"";"";"I";"L";"Abon";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abp";"";"";"";"I";"L";"Abellen Ayta";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abq";"";"";"";"I";"L";"Abaza";"";0;"2015-08-25 16:37:31";"2015-08-25 16:37:31";""
"abr";"";"";"";"I";"L";"Abron";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"abs";"";"";"";"I";"L";"Ambonese Malay";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"abt";"";"";"";"I";"L";"Ambulas";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"abu";"";"";"";"I";"L";"Abure";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"abv";"";"";"";"I";"L";"Baharna Arabic";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"abw";"";"";"";"I";"L";"Pal";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"abx";"";"";"";"I";"L";"Inabaknon";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"aby";"";"";"";"I";"L";"Aneme Wake";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"abz";"";"";"";"I";"L";"Abui";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"aca";"";"";"";"I";"L";"Achagua";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"acb";"";"";"";"I";"L";"Áncá";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"acd";"";"";"";"I";"L";"Gikyode";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"ace";"ace";"ace";"";"I";"L";"Achinese";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"acf";"";"";"";"I";"L";"Saint Lucian Creole French";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"ach";"ach";"ach";"";"I";"L";"Acoli";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"aci";"";"";"";"I";"E";"Aka-Cari";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"ack";"";"";"";"I";"E";"Aka-Kora";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"acl";"";"";"";"I";"E";"Akar-Bale";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"acm";"";"";"";"I";"L";"Mesopotamian Arabic";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"acn";"";"";"";"I";"L";"Achang";"";0;"2015-08-25 16:37:32";"2015-08-25 16:37:32";""
"acp";"";"";"";"I";"L";"Eastern Acipa";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"acq";"";"";"";"I";"L";"Ta'izzi-Adeni Arabic";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"acr";"";"";"";"I";"L";"Achi";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"acs";"";"";"";"I";"E";"Acroá";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"act";"";"";"";"I";"L";"Achterhoeks";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"acu";"";"";"";"I";"L";"Achuar-Shiwiar";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"acv";"";"";"";"I";"L";"Achumawi";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"acw";"";"";"";"I";"L";"Hijazi Arabic";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"acx";"";"";"";"I";"L";"Omani Arabic";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"acy";"";"";"";"I";"L";"Cypriot Arabic";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"acz";"";"";"";"I";"L";"Acheron";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"ada";"ada";"ada";"";"I";"L";"Adangme";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"adb";"";"";"";"I";"L";"Adabe";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"add";"";"";"";"I";"L";"Dzodinka";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"ade";"";"";"";"I";"L";"Adele";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"adf";"";"";"";"I";"L";"Dhofari Arabic";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"adg";"";"";"";"I";"L";"Andegerebinha";"";0;"2015-08-25 16:37:33";"2015-08-25 16:37:33";""
"adh";"";"";"";"I";"L";"Adhola";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"adi";"";"";"";"I";"L";"Adi";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"adj";"";"";"";"I";"L";"Adioukrou";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"adl";"";"";"";"I";"L";"Galo";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"adn";"";"";"";"I";"L";"Adang";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"ado";"";"";"";"I";"L";"Abu";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"adq";"";"";"";"I";"L";"Adangbe";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"adr";"";"";"";"I";"L";"Adonara";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"ads";"";"";"";"I";"L";"Adamorobe Sign Language";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"adt";"";"";"";"I";"L";"Adnyamathanha";"";0;"2015-08-25 16:37:34";"2015-08-25 16:37:34";""
"adu";"";"";"";"I";"L";"Aduge";"";0;"2015-08-25 16:37:35";"2015-08-25 16:37:35";""
"adw";"";"";"";"I";"L";"Amundava";"";0;"2015-08-25 16:37:35";"2015-08-25 16:37:35";""
"adx";"";"";"";"I";"L";"Amdo Tibetan";"";0;"2015-08-25 16:37:35";"2015-08-25 16:37:35";""
"ady";"ady";"ady";"";"I";"L";"Adyghe";"";0;"2015-08-25 16:37:35";"2015-08-25 16:37:35";""
"adz";"";"";"";"I";"L";"Adzera";"";0;"2015-08-25 16:37:35";"2015-08-25 16:37:35";""
"aea";"";"";"";"I";"E";"Areba";"";0;"2015-08-25 16:37:35";"2015-08-25 16:37:35";""
"aeb";"";"";"";"I";"L";"Tunisian Arabic";"";0;"2015-08-25 16:37:35";"2015-08-25 16:37:35";""
"aec";"";"";"";"I";"L";"Saidi Arabic";"";0;"2015-08-25 16:37:36";"2015-08-25 16:37:36";""
"aed";"";"";"";"I";"L";"Argentine Sign Language";"";0;"2015-08-25 16:37:36";"2015-08-25 16:37:36";""
"aee";"";"";"";"I";"L";"Northeast Pashai";"";0;"2015-08-25 16:37:36";"2015-08-25 16:37:36";""
"aek";"";"";"";"I";"L";"Haeke";"";0;"2015-08-25 16:37:36";"2015-08-25 16:37:36";""
"ael";"";"";"";"I";"L";"Ambele";"";0;"2015-08-25 16:37:36";"2015-08-25 16:37:36";""
"aem";"";"";"";"I";"L";"Arem";"";0;"2015-08-25 16:37:36";"2015-08-25 16:37:36";""
"aen";"";"";"";"I";"L";"Armenian Sign Language";"";0;"2015-08-25 16:37:36";"2015-08-25 16:37:36";""
