"0","Undefined","0","00"
"2","General","78","00"
"3","General","3","00"
"4","Algebra","3","01"
"5","Geometry and topology","3","02"
"6","Discrete and combinatorial mathematics","3","03"
"7","Mathematical analysis","3","04"
"8","Mathematical logiv and computing","3","05"
"9","Numerical mathematics","3","06"
"10","Applied mathematics and mathematical modeling","3","07"
"11","Probability theory and statistics","3","08"
"12","Financial and business mathematics","3","09"
"13","Other mathematical disciplines","3","10"
"14","General","4","00"
"15","General and classical physics","4","01"
"16","Physics of elementary particles and fields","4","02"
"17","Nuclear physics","4","03"
"18","Atomic and molecular physics","4","04"
"19","Physics of condensed matter","4","05"
"20","Astronomy and astrophysics","4","06"
"21","Biophysics and medical physics","4","07"
"22","Generalno","5","00"
"23","Geology and paleontology","5","01"
"24","Mineralogy and petrology","5","02"
"25","General","6","00"
"26","Physical chemistry","6","01"
"27","Theoretical chemistry","6","02"
"28","Analytical chemistry","6","03"
"29","Inorganic chemistry","6","04"
"30","Organic chemistry","6","05"
"31","Biochemistry and medical chemistry","6","06"
"32","Applied chemistry","6","07"
"33","General","7","00"
"34","Biochemistry and molecular biology","7","01"
"35","Botany","7","02"
"36","Microbiology","7","03"
"37","Zoology","7","04"
"38","Ecology","7","05"
"39","Genetics, evolution and phylogeny","7","06"
"40","General biology","7","07"
"41","General","8","00"
"42","Meteorology with climatology","8","01"
"43","Physical oceanography","8","02"
"44","Seismology and physics of the Earth's interior","8","03"
"45","Other geophysical disciplines","8","04"
"46","General","9","00"
"47","Teaching methodologies in subjects of natural sciences","9","01"
"48","Marine science","9","02"
"49","Environmental science","9","03"
"50","Radiation science","9","04"
"51","General","10","00"
"52","Architectural design","10","01"
"53","Urban and spatial planning","10","02"
"54","Architectural constructions, building physics, materials and construction technology","10","03"
"55","History and theory of architecture and preservation of architectural heritage","10","04"
"56","Landscape architecture","10","05"
"57","General","11","00"
"58","Landscape architecture","11","01"
"59","Hydrodynamics of vessel and offshore facilities","11","02"
"60","Foundation of vessel and offshore facilities","11","03"
"61","Technology of construction and maintenance of vessel and offshore facilities","11","04"
"62","General","12","00"
"63","Elektroenergetics (Power Engineering)","12","01"
"64","Electromechanical engeneering","12","02"
"65","Electronics","12","03"
"66","Telecommunications and informatics","12","04"
"67","Radiocommunications","12","05"
"68","Automation and robotics","12","06"
"69","General","13","00"
"70","Cartography","13","01"
"71","Photogrammetry and remote research","13","02"
"72","Maritime, satellite and physical geodesy","13","03"
"73","Applied Geodesy","13","04"
"74","Geomatics","13","05"
"75","General","14","00"
"76","Geotechnics","14","01"
"77","Supporting structures","14","02"
"78","Hydrotechnics","14","03"
"79","Roads","14","04"
"80","Construction technology and organization","14","05"
"81","General","15","00"
"82","Processes of graphic reproduction","15","01"
"83","General","16","00"
"84","Reaction engineering","16","01"
"85","Mechanical, thermal and separation processes","16","02"
"86","Analysis, synthesis and management of chemical processes","16","03"
"87","Chemical engineering in materials development","16","04"
"88","Environmental protection in chemical engineering","16","05"
"89","General","17","00"
"90","Process metallurgy","17","01"
"91","Mechanical metallurgy","17","02"
"92","Physical metallurgy","17","03"
"93","General","18","00"
"94","Computer system architecture","18","01"
"95","Information systems","18","02"
"96","Information processing","18","03"
"97","Artificial intelligence","18","04"
"98","Process computing","18","05"
"99","Software engineering","18","06"
"100","General","19","00"
"101","Mining","19","01"
"102","Petroleum engineering","19","02"
"103","Geological engineering","19","03"
"104","General","20","00"
"105","General mechanical engineering (construction)","20","01"
"106","Process and power mechanical engineering","20","02"
"107","Production mechanical engineering","20","03"
"108","Marine mechanical engineering","20","04"
"109","Precision mechanical engineering","20","05"
"110","General","21","00"
"111","Road and rail traffic","21","01"
"112","Maritime and river traffic","21","02"
"113","Postal and telecommunications traffic","21","03"
"114","Air traffic","21","04"
"115","Intelligent transport systems and logistics","21","05"
"116","General","22","00"
"117","Textile mechanical engineering","22","01"
"118","Textile chemistry","22","02"
"119","Clothing technology","22","03"
"120","Textile and clothing design","22","04"
"121","General","23","00"
"122","Design and establishment of aircrafts","23","01"
"123","Aircraft technology and maintenance","23","02"
"124","Aircraft direction and management","23","03"
"125","General","24","00"
"126","Automation","24","01"
"127","Energetics","24","02"
"128","Materials","24","03"
"129","Fluid mechanics","24","04"
"130","Organization of work and production","24","05"
"131","Technical mechanics (mechanics of rigid and deformable bodies)","24","06"
"132","Thermodynamics","24","07"
"133","General","25","00"
"134","Environmental engineering","25","01"
"135","Micro and nanotechnology","25","02"
"136","General","26","00"
"137","Anatomy","26","01"
"138","Cytology, histology and embryology","26","02"
"139","Pharmacology","26","03"
"140","Human physiology","26","04"
"141","Genetics, genomics and proteomics of man","26","05"
"142","Immunology","26","06"
"143","History of medicine and biomedical sciences","26","07"
