"0","Undefined","0","00"
"3","Mathematics","1","01"
"4","Physics","1","02"
"5","Geology","1","03"
"6","Chemistry","1","04"
"7","Biology","1","05"
"8","Geophysics","1","06"
"9","Interdisciplinary natural sciences","1","07"
"10","Architecture and urban planning","2","01"
"11","Naval architecture","2","02"
"12","Electrical engineering","2","03"
"13","Geodesy","2","04"
"14","Civil engineering","2","05"
"15","Graphic technology","2","06"
"16","Chemical engineering","2","07"
"17","Metallurgy","2","08"
"18","Computer Engineering","2","09"
"19","Mining, petroleum and geological engineering","2","10"
"20","Mechanical engineering","2","11"
"21","Traffic and transport technology","2","12"
"22","Textile technology","2","13"
"23","Aeronautical, rocket and space technology","2","14"
"24","Fundamental technical sciences","2","15"
"25","Interdisciplinary technical sciences","2","16"
"26","Fundamental medical sciences","3","01"
"27","Clinical medical sciences","3","02"
"28","Public health and health care","3","03"
"29","Veterinary medicine","3","04"
"30","Dental medicine","3","05"
"31","Pharmacy","3","06"
"32","Agriculture","4","01"
"33","Forestry","4","02"
"34","Wood technology","4","03"
"35","Biotechnology","4","04"
"36","Food technology","4","05"
"37","Interdisciplinary biotechnical sciences","4","07"
"38","Economics","5","01"
"39","Laws","5","02"
"40","Political science","5","03"
"41","Information and communication sciences","5","04"
"42","Sociology","5","05"
"43","Psychology","5","06"
"44","Pedagogy","5","07"
"45","Education-rehabilitation sciences","5","08"
"46","Speech pathology","5","09"
"47","Kinesiology","5","10"
"48","Demography","5","11"
"49","Social activities","5","12"
"50","Security and defense sciences","5","13"
"51","Interdisciplinary social sciences","5","14"
"52","Philosophy","6","01"
"53","Theology","6","02"
"54","Philology","6","03"
"55","History","6","04"
"56","Art history","6","05"
"57","Art sciences","6","06"
"58","Archeology","6","07"
"59","Ethnology and anthropology","6","08"
"60","Religion sciences (interdisciplinary field)","6","09"
"61","Interdisciplinary Humanistic sciences","6","10"
"62","Theatre arts (performing and media arts)","7","01"
"63","Film arts (film, electronic media and the art of motion pictures)","7","02"
"64","Music art","7","03"
"65","Fine arts","7","04"
"66","Applied arts","7","05"
"67","Art of dance and art of movement","7","06"
"68","Design","7","07"
"69","Interdisciplinary artistic field","7","09"
"70","Cognitive science (natural, technical, biomedicine and health, social and humanistic sciences)","8","01"
"71","Geography","8","02"
"72","Integrative bioethics (natural, technical, biomedicine and health, biotechnical, social, humanistic sciences)","8","03"
"73","Croatology","8","04"
"74","Educational Sciences (psychology of education, sociology of education, political science education, economics education, anthropology education, neuroscience and early learning, pedagogical disciplines)","8","05"
"75","Gender studies","8","06"
"76","Biotechnology in biomedicine (natural area, biomedicine and health, biotechnical area)","8","07"
"77","Project management","8","08"
"78","General","1","00"
"79","General","2","00"
"80","General","3","00"
"81","General","4","00"
"82","General","5","00"
"83","General","6","00"
"84","General","7","00"
"85","General","8","00"
"86","General","9","00"
"87","Nutrition sciences","4","06"
"88","Literature","7","08"
