"id";"scientific_branch";"mark";"description";"active";"created_at";"updated_at";"scientific_field_id"
3;"General";"00";"";1;"2015-08-12 20:16:28";"2015-08-12 20:16:28";79
4;"Mathematics in general";"00";"";1;"2015-08-12 20:16:28";"2015-08-13 17:50:26";4
5;"Algebra";"01";"";1;"2015-08-12 20:16:28";"2015-08-12 20:16:28";4
6;"Geometry and topology";"02";"";1;"2015-08-12 20:16:28";"2015-08-12 20:16:28";4
7;"Discrete and combinatorial mathematics";"03";"";1;"2015-08-12 20:16:28";"2015-08-12 20:16:28";4
8;"Mathematical analysis";"04";"";1;"2015-08-12 20:16:28";"2015-08-12 20:16:28";4
9;"Mathematical logic and computing";"05";"";1;"2015-08-12 20:16:28";"2015-08-13 17:51:11";4
10;"Numerical mathematics";"06";"";1;"2015-08-12 20:16:28";"2015-08-12 20:16:28";4
11;"Applied mathematics and mathematical modeling";"07";"";1;"2015-08-12 20:16:28";"2015-08-12 20:16:28";4
12;"Probability theory and statistics";"08";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";4
13;"Financial and business mathematics";"09";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";4
14;"Other mathematical disciplines";"10";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";4
15;"Physics in general";"00";"";1;"2015-08-12 20:16:29";"2015-08-13 17:52:08";5
16;"General and classical physics";"01";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";5
17;"Physics of elementary particles and fields";"02";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";5
18;"Nuclear physics";"03";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";5
19;"Atomic and molecular physics";"04";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";5
20;"Physics of condensed matter";"05";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";5
21;"Astronomy and astrophysics";"06";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";5
22;"Biophysics and medical physics";"07";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";5
23;"Geology in general";"00";"";1;"2015-08-12 20:16:29";"2015-08-13 17:53:09";6
24;"Geology and paleontology";"01";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";6
25;"Mineralogy and petrology";"02";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";6
26;"Chemistry in general";"00";"";1;"2015-08-12 20:16:29";"2015-08-13 17:53:57";7
27;"Physical chemistry";"01";"";1;"2015-08-12 20:16:29";"2015-08-12 20:16:29";7
28;"Theoretical chemistry";"02";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";7
29;"Analytical chemistry";"03";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";7
30;"Inorganic chemistry";"04";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";7
31;"Organic chemistry";"05";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";7
32;"Biochemistry and medical chemistry";"06";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";7
33;"Applied chemistry";"07";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";7
34;"Biology in general";"00";"";1;"2015-08-12 20:16:30";"2015-08-13 17:54:54";8
35;"Biochemistry and molecular biology";"01";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";8
36;"Botany";"02";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";8
37;"Microbiology";"03";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";8
38;"Zoology";"04";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";8
39;"Ecology";"05";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";8
40;"Genetics, evolution and phylogeny";"06";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";8
41;"General biology";"07";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";8
42;"Geophysics in general";"00";"";1;"2015-08-12 20:16:30";"2015-08-13 18:00:11";9
43;"Meteorology with climatology";"01";"";1;"2015-08-12 20:16:30";"2015-08-12 20:16:30";9
44;"Physical oceanography";"02";"";1;"2015-08-12 20:16:31";"2015-08-12 20:16:31";9
